datetime, open, high, low, close, tick_volume, normalized_open, normalized_high, normalized_low, normalized_close, normalized_tick_volume, direction
2014-01-01 16:00:00,  0.88819000,  0.88953000,  0.88819000,  0.88898000,2160.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 00:00:00,  0.88897000,  0.89253000,  0.88870000,  0.89151000,14811.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 08:00:00,  0.89150000,  0.89174000,  0.88427000,  0.89127000,23158.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 16:00:00,  0.89125000,  0.89427000,  0.89014000,  0.89041000,14974.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-03 00:00:00,  0.89044000,  0.89928000,  0.88847000,  0.89663000,15638.00000000,  0.41105929,  1.00000000,  0.27981346,  0.82345103,  0.67527420,-1
2014-01-03 08:00:00,  0.89662000,  0.90042000,  0.89618000,  0.89939000,22993.00000000,  0.76470588,  1.00000000,  0.73746130,  0.93622291,  0.99287503,-1
2014-01-03 16:00:00,  0.89938000,  0.90039000,  0.89361000,  0.89427000,14540.00000000,  0.93560372,  0.99814241,  0.57832817,  0.61919505,  0.62786078,-1
2014-01-06 00:00:00,  0.89486000,  0.89822000,  0.89420000,  0.89585000,13795.00000000,  0.53472803,  0.81589958,  0.47949791,  0.61757322,  0.59996521,-1
2014-01-06 08:00:00,  0.89587000,  0.89749000,  0.89348000,  0.89396000,19298.00000000,  0.61924686,  0.75481172,  0.41924686,  0.45941423,  0.83929892,-1
2014-01-06 16:00:00,  0.89401000,  0.89733000,  0.89382000,  0.89647000,16362.00000000,  0.07636888,  0.55475504,  0.04899135,  0.43083573,  0.71160788,-1
2014-01-07 00:00:00,  0.89648000,  0.89708000,  0.89112000,  0.89193000,15683.00000000,  0.57820928,  0.64293420,  0.00000000,  0.08737864,  0.81267489,0
2014-01-07 08:00:00,  0.89193000,  0.89397000,  0.89098000,  0.89196000,17270.00000000,  0.13121547,  0.41298343,  0.00000000,  0.13535912,  0.89491139,0
2014-01-07 16:00:00,  0.89192000,  0.89349000,  0.88934000,  0.89101000,12715.00000000,  0.31656442,  0.50920245,  0.00000000,  0.20490798,  0.65887657,0
2014-01-08 00:00:00,  0.89109000,  0.89371000,  0.89019000,  0.89257000,13094.00000000,  0.21902378,  0.54693367,  0.10638298,  0.40425532,  0.75819340,-1
2014-01-08 08:00:00,  0.89257000,  0.89499000,  0.89075000,  0.89417000,15958.00000000,  0.41731266,  0.72997416,  0.18217054,  0.62403101,  0.92403011,-1
2014-01-08 16:00:00,  0.89422000,  0.89518000,  0.88837000,  0.88883000,15530.00000000,  0.85903084,  1.00000000,  0.00000000,  0.06754772,  0.89924725,0
2014-01-09 00:00:00,  0.88881000,  0.89124000,  0.88646000,  0.88735000,15139.00000000,  0.26949541,  0.54816514,  0.00000000,  0.10206422,  0.94867778,1
2014-01-09 08:00:00,  0.88734000,  0.88989000,  0.88671000,  0.88912000,14859.00000000,  0.10091743,  0.39334862,  0.02866972,  0.30504587,  0.93113172,1
2014-01-09 16:00:00,  0.88911000,  0.89052000,  0.88738000,  0.88909000,11993.00000000,  0.30389908,  0.46559633,  0.10550459,  0.30160550,  0.75153528,1
2014-01-10 00:00:00,  0.88913000,  0.89099000,  0.88754000,  0.88957000,12279.00000000,  0.30619266,  0.51949541,  0.12385321,  0.35665138,  0.79066323,1
2014-01-10 08:00:00,  0.88961000,  0.89814000,  0.88820000,  0.89792000,17560.00000000,  0.26969178,  1.00000000,  0.14897260,  0.98116438,  1.00000000,0
