datetime,open,high,low,close,tick_volume,spread,real_volume
2014-01-01 16:00:00,105.237,105.38,105.217,105.361,1092,6,0
2014-01-02 00:00:00,105.358,105.4,105.233,105.322,11115,6,0
2014-01-02 08:00:00,105.323,105.44,104.786,104.849,14718,1,0
2014-01-02 16:00:00,104.852,105.041,104.547,104.831,11922,1,0
2014-01-03 00:00:00,104.835,104.87,104.075,104.269,11164,1,0
2014-01-03 08:00:00,104.274,104.534,104.213,104.441,12182,1,0
2014-01-03 16:00:00,104.442,104.88,104.333,104.844,8576,1,0
2014-01-06 00:00:00,104.845,104.949,104.147,104.355,13932,1,0
2014-01-06 08:00:00,104.353,104.838,104.292,104.814,11364,1,0
2014-01-06 16:00:00,104.815,104.815,103.912,104.23,13702,1,0
2014-01-07 00:00:00,104.23,104.617,104.178,104.428,13474,1,0
2014-01-07 08:00:00,104.428,104.634,104.249,104.631,12495,1,0
2014-01-07 16:00:00,104.631,104.734,104.332,104.683,9575,1,0
2014-01-08 00:00:00,104.681,105.0,104.626,104.911,12652,1,0
2014-01-08 08:00:00,104.912,105.123,104.666,104.823,14715,1,0
2014-01-08 16:00:00,104.815,105.053,104.71,104.881,11376,1,0
2014-01-09 00:00:00,104.878,104.983,104.742,104.903,11526,1,0
2014-01-09 08:00:00,104.905,105.057,104.77,104.94,12984,1,0
2014-01-09 16:00:00,104.941,104.977,104.58,104.829,10105,1,0
2014-01-10 00:00:00,104.828,104.986,104.782,104.975,10547,1,0
2014-01-10 08:00:00,104.975,105.334,104.121,104.127,13487,1,0
2014-01-10 16:00:00,104.133,104.271,103.828,104.154,11720,1,0
2014-01-13 00:00:00,104.079,104.119,103.257,103.46,11221,1,0
2014-01-13 08:00:00,103.458,103.569,102.984,103.241,14090,1,0
2014-01-13 16:00:00,103.237,103.385,102.854,103.065,13674,1,0
2014-01-14 00:00:00,103.06,103.527,103.02,103.438,14054,1,0
2014-01-14 08:00:00,103.437,103.772,103.348,103.673,13290,1,0
2014-01-14 16:00:00,103.674,104.29,103.584,104.252,12419,1,0
2014-01-15 00:00:00,104.24,104.471,104.091,104.41,10897,1,0
2014-01-15 08:00:00,104.41,104.515,104.218,104.439,12376,1,0
2014-01-15 16:00:00,104.438,104.695,104.365,104.568,10362,1,0
2014-01-16 00:00:00,104.57,104.921,104.558,104.743,11005,1,0
2014-01-16 08:00:00,104.742,104.793,104.151,104.314,12147,1,0
2014-01-16 16:00:00,104.313,104.481,104.151,104.331,9429,1,0
2014-01-17 00:00:00,104.344,104.416,104.196,104.356,9086,1,0
2014-01-17 08:00:00,104.355,104.474,104.209,104.292,11233,1,0
2014-01-17 16:00:00,104.301,104.389,104.234,104.239,8019,1,0
2014-01-20 00:00:00,104.298,104.299,103.862,104.115,11328,1,0
2014-01-20 08:00:00,104.121,104.256,103.915,104.051,8254,1,0
2014-01-20 16:00:00,104.053,104.225,103.956,104.178,5420,1,0
2014-01-21 00:00:00,104.178,104.693,104.151,104.541,11865,1,0
2014-01-21 08:00:00,104.539,104.748,104.375,104.436,11173,1,0
2014-01-21 16:00:00,104.432,104.435,104.025,104.299,10400,1,0
2014-01-22 00:00:00,104.3,104.57,103.97,104.449,15159,1,0
2014-01-22 08:00:00,104.451,104.511,104.232,104.418,11671,1,0
2014-01-22 16:00:00,104.418,104.571,104.231,104.538,8550,1,0
2014-01-23 00:00:00,104.535,104.84,104.274,104.324,13873,1,0
2014-01-23 08:00:00,104.326,104.441,103.544,103.56,16735,1,0
2014-01-23 16:00:00,103.555,103.78,102.975,103.358,16871,1,0
2014-01-24 00:00:00,103.363,103.584,103.083,103.367,14804,1,0
