datetime,open,high,low,close,tick_volume,spread,real_volume
2014-01-01 16:00:00,0.81918,0.82074,0.81877,0.82004,1428,14,0
2014-01-02 00:00:00,0.82004,0.82334,0.81917,0.82158,15526,14,0
2014-01-02 08:00:00,0.82157,0.82168,0.81385,0.81985,14457,2,0
2014-01-02 16:00:00,0.81984,0.82296,0.81735,0.8185,10864,1,0
2014-01-03 00:00:00,0.8185,0.82576,0.81778,0.82411,10539,3,0
2014-01-03 08:00:00,0.82409,0.83067,0.82391,0.82933,15397,2,0
2014-01-03 16:00:00,0.82936,0.83166,0.82698,0.82708,10115,3,0
2014-01-06 00:00:00,0.82629,0.82814,0.825,0.82693,12105,2,0
2014-01-06 08:00:00,0.82696,0.82851,0.82534,0.82719,12783,2,0
2014-01-06 16:00:00,0.82739,0.8305,0.82681,0.82879,11717,3,0
2014-01-07 00:00:00,0.82879,0.82954,0.82535,0.82601,13590,2,0
2014-01-07 08:00:00,0.826,0.83025,0.82575,0.82854,13972,5,0
2014-01-07 16:00:00,0.82854,0.83013,0.82603,0.82788,11533,1,0
2014-01-08 00:00:00,0.82776,0.83004,0.8265,0.82859,10047,5,0
2014-01-08 08:00:00,0.82863,0.83174,0.82662,0.83036,13950,1,0
2014-01-08 16:00:00,0.8304,0.83164,0.82507,0.82599,13346,3,0
2014-01-09 00:00:00,0.82598,0.82671,0.82413,0.82558,10239,5,0
2014-01-09 08:00:00,0.82557,0.82723,0.82481,0.82551,13881,2,0
2014-01-09 16:00:00,0.8255,0.82584,0.8231,0.82375,11624,1,0
2014-01-10 00:00:00,0.82374,0.82533,0.82307,0.82396,8773,4,0
2014-01-10 08:00:00,0.82397,0.82902,0.82041,0.82844,15131,1,0
2014-01-10 16:00:00,0.82839,0.83077,0.82773,0.82992,10613,1,0
2014-01-13 00:00:00,0.82869,0.83356,0.82815,0.83297,11463,2,0
2014-01-13 08:00:00,0.83299,0.83861,0.83181,0.8365,15791,1,0
2014-01-13 16:00:00,0.83644,0.83894,0.83564,0.83763,11363,1,0
2014-01-14 00:00:00,0.83764,0.83884,0.83579,0.83767,9545,2,0
2014-01-14 08:00:00,0.83766,0.8432,0.83647,0.83961,16687,1,0
2014-01-14 16:00:00,0.8396,0.84182,0.83601,0.83613,11770,1,0
2014-01-15 00:00:00,0.83662,0.83744,0.83332,0.834,10521,1,0
2014-01-15 08:00:00,0.83401,0.83723,0.83342,0.83458,13913,1,0
2014-01-15 16:00:00,0.83457,0.83593,0.83231,0.83296,11563,1,0
2014-01-16 00:00:00,0.83301,0.83358,0.83083,0.83234,12027,1,0
2014-01-16 08:00:00,0.83232,0.83301,0.82958,0.83103,14398,3,0
2014-01-16 16:00:00,0.83092,0.83602,0.83084,0.83461,12402,2,0
2014-01-17 00:00:00,0.83461,0.83567,0.82868,0.83048,9815,1,0
2014-01-17 08:00:00,0.8305,0.83098,0.8256,0.82677,13318,1,0
2014-01-17 16:00:00,0.82677,0.82771,0.82439,0.82439,9835,2,0
2014-01-20 00:00:00,0.82492,0.82635,0.823,0.825,9721,2,0
2014-01-20 08:00:00,0.825,0.82723,0.82116,0.82669,10704,3,0
2014-01-20 16:00:00,0.8267,0.83375,0.82411,0.83304,10950,2,0
2014-01-21 00:00:00,0.83263,0.83393,0.83068,0.83341,10339,1,0
2014-01-21 08:00:00,0.8334,0.8338,0.82955,0.83274,13046,1,0
2014-01-21 16:00:00,0.83271,0.83308,0.8303,0.83099,8954,2,0
2014-01-22 00:00:00,0.83095,0.83255,0.8304,0.8324,10101,2,0
2014-01-22 08:00:00,0.8324,0.83456,0.83171,0.83172,11870,3,0
2014-01-22 16:00:00,0.83167,0.83219,0.82959,0.83044,10993,4,0
2014-01-23 00:00:00,0.83039,0.83102,0.82607,0.82984,10923,1,0
2014-01-23 08:00:00,0.82984,0.83374,0.82672,0.83332,16514,1,0
2014-01-23 16:00:00,0.83332,0.83379,0.82717,0.82944,13450,1,0
2014-01-24 00:00:00,0.82931,0.82955,0.82459,0.82689,11673,1,0
2014-01-24 08:00:00,0.82686,0.82852,0.82152,0.82376,17391,1,0
2014-01-24 16:00:00,0.82374,0.82556,0.82116,0.82116,10078,1,0
2014-01-27 00:00:00,0.8236,0.82429,0.81966,0.82424,10520,1,0
2014-01-27 08:00:00,0.82422,0.82608,0.82167,0.82482,13576,1,0
2014-01-27 16:00:00,0.82512,0.82604,0.82177,0.82239,11951,1,0
2014-01-28 00:00:00,0.82248,0.82762,0.8219,0.8267,10421,2,0
2014-01-28 08:00:00,0.82672,0.83034,0.82584,0.82616,14453,1,0
2014-01-28 16:00:00,0.82613,0.82908,0.82469,0.82699,9896,1,0
2014-01-29 00:00:00,0.8269,0.82981,0.82617,0.82822,9115,1,0
2014-01-29 08:00:00,0.82822,0.82898,0.82499,0.82729,15854,3,0
2014-01-29 16:00:00,0.82729,0.82815,0.81768,0.82142,13998,1,0
2014-01-30 00:00:00,0.82147,0.82176,0.8163,0.81698,10591,1,0
2014-01-30 08:00:00,0.81699,0.81854,0.81368,0.81618,16035,1,0
2014-01-30 16:00:00,0.81618,0.81708,0.81254,0.81634,11660,2,0
2014-01-31 00:00:00,0.81636,0.81801,0.81257,0.81401,10623,2,0
2014-01-31 08:00:00,0.81401,0.81604,0.80615,0.8076,15562,1,0
2014-01-31 16:00:00,0.80763,0.81011,0.80666,0.80758,11555,4,0
2014-02-03 00:00:00,0.81018,0.81219,0.80915,0.81052,9958,1,0
2014-02-03 08:00:00,0.81055,0.81226,0.80883,0.80935,12389,2,0
2014-02-03 16:00:00,0.80931,0.81367,0.80753,0.8077,13063,1,0
2014-02-04 00:00:00,0.80769,0.81292,0.80492,0.81251,12930,2,0
2014-02-04 08:00:00,0.81251,0.81873,0.81251,0.81718,15297,1,0
2014-02-04 16:00:00,0.81719,0.8256,0.8162,0.82238,12502,1,0
2014-02-05 00:00:00,0.82238,0.82324,0.81869,0.82157,11645,1,0
2014-02-05 08:00:00,0.82157,0.82279,0.81935,0.81989,17452,1,0
2014-02-05 16:00:00,0.81988,0.82237,0.81889,0.82204,11899,1,0
2014-02-06 00:00:00,0.82204,0.8248,0.82162,0.82428,10975,1,0
2014-02-06 08:00:00,0.82428,0.82457,0.82082,0.82347,16708,1,0
2014-02-06 16:00:00,0.82347,0.82824,0.82301,0.8239,11779,3,0
2014-02-07 00:00:00,0.82388,0.82465,0.82115,0.82377,10593,1,0
2014-02-07 08:00:00,0.82377,0.82954,0.82281,0.82844,17746,1,0
2014-02-07 16:00:00,0.82846,0.82955,0.82652,0.82923,10191,1,0
2014-02-10 00:00:00,0.82783,0.82867,0.82688,0.82772,8114,1,0
2014-02-10 08:00:00,0.82771,0.82778,0.82563,0.82629,9431,2,0
2014-02-10 16:00:00,0.82627,0.8278,0.82595,0.82661,6678,3,0
2014-02-11 00:00:00,0.82662,0.83087,0.82635,0.83051,8261,3,0
2014-02-11 08:00:00,0.83049,0.83321,0.82902,0.83083,12104,1,0
2014-02-11 16:00:00,0.83086,0.83435,0.83031,0.83151,9531,2,0
2014-02-12 00:00:00,0.8315,0.8353,0.83019,0.8351,9504,1,0
2014-02-12 08:00:00,0.83511,0.83678,0.83285,0.83338,10865,2,0
2014-02-12 16:00:00,0.83337,0.83353,0.83099,0.83226,8427,4,0
2014-02-13 00:00:00,0.83226,0.83321,0.82922,0.83099,10539,2,0
2014-02-13 08:00:00,0.831,0.83471,0.83075,0.83406,11774,1,0
2014-02-13 16:00:00,0.83406,0.8357,0.8333,0.83371,9262,1,0
2014-02-14 00:00:00,0.8337,0.83665,0.83311,0.83445,9929,1,0
2014-02-14 08:00:00,0.83454,0.83842,0.83426,0.8364,11485,5,0
2014-02-14 16:00:00,0.83635,0.83754,0.83526,0.83648,6160,1,0
2014-02-17 00:00:00,0.83657,0.83919,0.83644,0.83706,9092,2,0
2014-02-17 08:00:00,0.83711,0.83719,0.83538,0.83594,8469,4,0
2014-02-17 16:00:00,0.83593,0.83699,0.83527,0.83637,6356,1,0
2014-02-18 00:00:00,0.83638,0.83801,0.83382,0.83424,13508,1,0
2014-02-18 08:00:00,0.83426,0.83426,0.83026,0.83079,12742,1,0
2014-02-18 16:00:00,0.8308,0.83193,0.82963,0.82993,9130,1,0
2014-02-19 00:00:00,0.82991,0.83263,0.82797,0.83174,18718,1,0
2014-02-19 08:00:00,0.83173,0.83424,0.83129,0.83314,17608,1,0
2014-02-19 16:00:00,0.83311,0.83336,0.82646,0.8271,15635,1,0
2014-02-20 00:00:00,0.82711,0.82815,0.82421,0.82631,19217,1,0
2014-02-20 08:00:00,0.82627,0.83031,0.82611,0.82838,19405,1,0
2014-02-20 16:00:00,0.82844,0.83148,0.82771,0.82993,13396,1,0
2014-02-21 00:00:00,0.82994,0.83145,0.82938,0.82972,14132,1,0
2014-02-21 08:00:00,0.82969,0.83081,0.82693,0.8294,13561,1,0
2014-02-21 16:00:00,0.8294,0.83019,0.82639,0.82743,10443,1,0
2014-02-24 00:00:00,0.82745,0.8286,0.826,0.82852,13799,1,0
2014-02-24 08:00:00,0.82853,0.83004,0.82758,0.82992,14198,1,0
2014-02-24 16:00:00,0.82992,0.83414,0.82945,0.83266,12482,1,0
2014-02-25 00:00:00,0.83263,0.83444,0.83177,0.83374,14381,1,0
2014-02-25 08:00:00,0.83374,0.83414,0.83165,0.83298,14204,1,0
2014-02-25 16:00:00,0.83296,0.83439,0.83203,0.83249,9806,1,0
2014-02-26 00:00:00,0.83249,0.83401,0.83076,0.8338,12482,3,0
2014-02-26 08:00:00,0.8338,0.83444,0.82962,0.82962,13466,4,0
