datetime, open, high, low, close, tick_volume, normalized_open, normalized_high, normalized_low, normalized_close, normalized_tick_volume, direction
2014-01-01 16:00:00,  1.06396000,  1.06475000,  1.06388000,  1.06460000,1736.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 00:00:00,  1.06457000,  1.06467000,  1.06259000,  1.06314000,9666.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 08:00:00,  1.06314000,  1.06614000,  1.05884000,  1.05899000,9314.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-02 16:00:00,  1.05905000,  1.06775000,  1.05897000,  1.06683000,9288.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00000000,0
2014-01-03 00:00:00,  1.06677000,  1.06715000,  1.06360000,  1.06525000,5654.00000000,  0.89001122,  0.93265993,  0.53423120,  0.71941639,  0.58493689,0
2014-01-03 08:00:00,  1.06526000,  1.06646000,  1.06022000,  1.06206000,9118.00000000,  0.72053872,  0.85521886,  0.15488215,  0.36139169,  0.94330643,0
2014-01-03 16:00:00,  1.06206000,  1.06404000,  1.06049000,  1.06297000,6437.00000000,  0.36139169,  0.58361392,  0.18518519,  0.46352413,  0.69111016,1
2014-01-06 00:00:00,  1.06327000,  1.06401000,  1.06099000,  1.06207000,5407.00000000,  0.48974943,  0.57403189,  0.23006834,  0.35307517,  0.58214901,0
2014-01-06 08:00:00,  1.06205000,  1.06805000,  1.06084000,  1.06711000,8568.00000000,  0.23371648,  1.00000000,  0.07918263,  0.87994891,  0.93967975,0
2014-01-06 16:00:00,  1.06706000,  1.06730000,  1.06408000,  1.06593000,7978.00000000,  0.87356322,  0.90421456,  0.49297573,  0.72924649,  0.87497258,0
2014-01-07 00:00:00,  1.06593000,  1.06854000,  1.06589000,  1.06794000,5647.00000000,  0.67577640,  1.00000000,  0.67080745,  0.92546584,  0.65908030,0
2014-01-07 08:00:00,  1.06794000,  1.07191000,  1.06704000,  1.07150000,9283.00000000,  0.64137308,  1.00000000,  0.56007227,  0.96296296,  1.00000000,0
2014-01-07 16:00:00,  1.07151000,  1.07811000,  1.07150000,  1.07679000,10356.00000000,  0.61783439,  1.00000000,  0.61725536,  0.92356688,  1.00000000,0
2014-01-08 00:00:00,  1.07679000,  1.08088000,  1.07650000,  1.08029000,6948.00000000,  0.75654762,  1.00000000,  0.73928571,  0.96488095,  0.67091541,0
2014-01-08 08:00:00,  1.08027000,  1.08284000,  1.07917000,  1.08036000,11478.00000000,  0.84837758,  1.00000000,  0.78348083,  0.85368732,  1.00000000,0
2014-01-08 16:00:00,  1.08034000,  1.08299000,  1.07900000,  1.08260000,9340.00000000,  0.83385580,  1.00000000,  0.74984326,  0.97554859,  0.81373062,0
2014-01-09 00:00:00,  1.08263000,  1.08449000,  1.08187000,  1.08349000,6032.00000000,  0.85681293,  1.00000000,  0.79830639,  0.92301771,  0.52552710,0
2014-01-09 08:00:00,  1.08349000,  1.08708000,  1.08231000,  1.08463000,10162.00000000,  0.66068053,  1.00000000,  0.54914934,  0.76843100,  0.88534588,0
2014-01-09 16:00:00,  1.08461000,  1.08744000,  1.08301000,  1.08398000,9057.00000000,  0.66469194,  1.00000000,  0.47511848,  0.59004739,  0.78907475,0
2014-01-10 00:00:00,  1.08397000,  1.08570000,  1.08390000,  1.08489000,5237.00000000,  0.58886256,  0.79383886,  0.58056872,  0.69786730,  0.51535131,0
2014-01-10 08:00:00,  1.08490000,  1.09457000,  1.08372000,  1.09159000,13028.00000000,  0.23858268,  1.00000000,  0.14566929,  0.76535433,  1.00000000,-1
2014-01-10 16:00:00,  1.09159000,  1.09356000,  1.08829000,  1.08856000,10162.00000000,  0.75693312,  0.91761827,  0.48776509,  0.50978793,  0.78001228,-1
2014-01-13 00:00:00,  1.09055000,  1.09161000,  1.08906000,  1.09049000,5184.00000000,  0.65224913,  0.74394464,  0.52335640,  0.64705882,  0.39791219,0
2014-01-13 08:00:00,  1.09049000,  1.09289000,  1.08650000,  1.08757000,9808.00000000,  0.62396313,  0.84516129,  0.25622120,  0.35483871,  0.75284004,0
2014-01-13 16:00:00,  1.08752000,  1.08847000,  1.08422000,  1.08717000,8879.00000000,  0.35023041,  0.43778802,  0.04608295,  0.31797235,  0.68153208,0
2014-01-14 00:00:00,  1.08717000,  1.08993000,  1.08680000,  1.08843000,5436.00000000,  0.31584582,  0.61134904,  0.27623126,  0.45074946,  0.53493407,1
